model,rating,comments
Rogue,1 out of 5 stars,"(1/27/22 UPDATE: Living in the Northeast, we get all the wonderful elements. Safety features decided to disable themselves.  Took it down to Nissan, and the tech guy said that there is nothing they can do because Nissan developers are (his words) fucking morons for putting the sensors directly underneath the bumper. So when water, mud, snow hit it, it disables. So I said your telling me that I have safety features that are supposed to protect me and my family in the elements, but the elements prevent the safety features from working! And he said ""that is exactly what I am telling you"".) ORIGINAL POST: I have had my 2021 Nissan Rogue SV Premium Edition for 2 months now. More than half the time it has been in the shop. CVT issues strike again! 2300 miles and the SUV buckles when merging onto the highway, RPMs shoot up to 5-7 when the vehicle is at 15 mph preventing it to accelerate. If it wasn't for the quick instincts of the driver coming at me, I would have been in a horrific accident due to no acceleration coming out of a side street. This vehicle has been nothing but problematic since purchasing, which is really too bad."
Rogue,2 out of 5 stars,"Fell in love and traded in my 2017.  This is my third Rogue and after my 2017 i was convinced never again... but I did and now regret! A couple of months ago when it was extreme cold temperatures my 2021 wouldn’t start. Would turn over but engine wouldn’t engage... first time this happened thought it was my fault cause foot slipped off break while pressing the push button start.  Waited 15 min, attempted again and it started.   A couple weeks later, happened again.  Only parked for approximately an hour, this time my foot was firmly on brake and no start!   Tried to boost, waited it out and nothing.  With only 500 km , I decided to have towed back to dealership!  Unacceptable!!! Computer scans and error after error appeared.  Now the reports are with the Nissan engineering for review and conclusion for fix. The 2021 rogue has proven to have issues with start when temperatures is -15 C and colder!  The reading suggest replace computer but results are still under review.  I have issued complaint with NIssan Canada... still waiting for conclusion.   Very concerning cause I travel daily in rural communities and winter is 6 months long with daily normal temperatures of -15 for at least 3-4 months. Caution if you live in colder climates!!!  Want to give 5 star for the mere beautiful change inside and out, the ride is amazing but the starting issue drops the rating to only 2 stars:("
Rogue,1 out of 5 stars,"I just purchased a brand new rogue 7 days ago and yesterday I took it to the freeway to test the propilot and after 5 minutes the warning light was on and said CVT malfunction Service not available. I pulled off to a stop turned off the engine and restart again. The warning light was gone. I got back to the freeway again and turned the autopilot again and about 3 minutes warning light on again. I can't turned it off so had pulled over and stopped the engine and restart again this time the CVT malfunction light was gone but engine check light was on and can't turned it off. I called the dealer and dropped the car off for them to fix it. It was frustrated when you spent over $32k for a brand new car and only last for 120 miles and had to go to the shop. Never experience anything like this before on a new car. Very disappointed, should have gone for a different brand."
Rogue,1 out of 5 stars,Do not buy. 2021 Nissan Rogue 23 hours old and 170.0 miles suffered catastrophic engine failure. Worst part is that Nissan left my parents who are in their 80’s on the side of the freeway in the middle of nowhere and car can’t charge phone and it’s cold and raining with semi trucks passing them and hazard lights will not work. Nissan says we are sending a truck but we are going to leave you on the side of the road and you need to call Uber or negotiate with the tow company. Nissan’s response put their lives in danger for over 4 hours. My mom and dad are terrified of this car and Nissan’s response.... I will bet everything I own that Honda or Toyota’s response would have been way better and It’s not possible to be any worse...
Rogue,1 out of 5 stars,"According to my technician at Summerlin Nissan in Ft. Myers, FL...the possible malfunctions ""may be taken care of with the two recalls we have on your vehicle.""  My reply:  What recalls?

Antilock breaking software issues was the recall they have allegedly resolved.  After 5 hours of sitting in a waiting room.

Next issue:  Constantly being told I need an oil change.  Service light comes on with the little oil can.  Its so cute.  (Sarcasm).  Started when I first had 350 miles on the car.  Took it in.  It is properly set in the dashboard of the car, but there is something else malfunctioning causing this to again, malfunction.

Next issue:  Sonar Lane Change Blind Spot Detection shuts off at will.  No reason.  

Next Issue:  While sitting in the parking lot of a grocery store, every warning light came on in my car.  Tech told me to wipe off the sensor.  Um, which sensor and where is it located and why, after just over 1000 miles should I have to be doing this in the first place.

Called Nissan USA directly.  They told me a whole different story aside from what the service techs and manager told me.  They claim to have told them that I refused to leave the vehicle for service.  In a manner of speaking.  After waiting over 4 hours for what was supposed to have been an appointment, I had no more time and they had no loaner.  So, yes, I did refuse, but I have the text trail to prove the actual comments and the photos sent to the techs of all these screw ups.  Awaiting to hear from Nissan to see if they are going to buy this piece of tin back from me.  My first, and certainly my last, Nissan.

Top of the line....if this is as good as it gets, I feel sorry for Nissan."
Rogue,1 out of 5 stars,"My daughter bought this 2021 Nisson Rogue, piece of junk. It has 1900 miles on it and it is in the shop for the second time, should of been 3rd.  Imagine driving down the interstate, engine failure coming across the dash, the car pulling itself over to the side of the road and putting itself in park, scarey huh. And Nissan's solution, don't replace the car, oh no, it needs a module that they have no idea when it will be available and whether it will even fix the problem.  I drive a Toyota and would never even consider a Nisson, especially after this."
Rogue,3 out of 5 stars,"I recently upgraded my 2018 Rogue SV for a Rogue SV 2021. I love the new exterior design, and new safety technology. However, I failed to review the new Rogue SV features before I went to a dealership. The sales guy focused on showing me the new features and never mentioned what was taken away from the 2018 SV nor I asked for it. Now I am very disappointed that my 2018 SV had more convenient features than my 2021 SV and yet I paid more for the 2021 car. Rogue SV 2021 doesn't include:
 
Motion-Activated Liftgate -kick sensor
Power liftgate- Keyfob-opening & closing 
Blind spot sensor (alarm sound is very low)
power heated front seats
Divide-N-Hide and multi-level Cargo System
Power height-adjustable liftgate 

After this rip-off, I will think it twice before I lease another  car from Nissan again. They overpriced the New Rogue SV, and if you want the old standard SV features, you would have to go for the SL trim and of course pay at least $5000 or more than an SV."
Rogue,1 out of 5 stars,"Update!

Buyer beware. I’ve had a draining battery that needed charging. AC very lacking for a new car. Leaking drain or roof racks. Rattling in car. Nothing can ever verified or fixed. Light always coming on saying I need an oil change. Which started at 12 miles. It’s been reset more times then I can count.  But the newest problem is which first happened June 3rd and again on July 13th engine malfunction reduced power. You can’t accelerate more then 40 mph. Being told the code is gone. Seriously anyone can clear a code. The code scanned by dealership as EGR. I’m finding out this is an issue from other blocks. I can’t recommend this car at all any longer. I’m afraid of the safety concerns to my family in this car. 

The Rouge Platinum has all the safety and comfort I was looking for. I love almost everything about the car. It’s a pleasure to drive. Only drawbacks is no ventilation in seats, no height adjustment in passenger seat, no auto up and down on passenger side.These are big deals.  I love the wireless charger and wireless Apple Car Play. Digital display is beautiful and crisp and can be customized on the platinum. I’ve got many compliments on the car."
Rogue,2 out of 5 stars,I just bought this car and have had it for 32 days and the computer is making the service light come on. I just took it to the dealer and they said the entire computer needs to be changed and is why the check engine light keeps turning back on.
Rogue,1 out of 5 stars,From day 1 i have issues with this 2021 nissan rogue sv   I cnstantly get engine lite on the car dont start it says i need the key  the key is sitting next to start button also get locked in or out    Very dissapointed to say the least i have medical issues that keep me from walking or standing to much im actually afraid to take this car anywhere due to that and more dealership has been great i find nissan higher ups to be issue the car was looked at 10 times new battery put in at 400 miles car will not charge past 70 percent car was looked at last week by their higher up tech he coudnt duplicate issue of no start and lockiut so they are closing the case out >>>if i have anymore issues feel free to call hello the issues never stopped..such a waste of money I should have kept my tblazer..
Rogue,1 out of 5 stars,"I am with great disgust writing this review hoping that Nissan Canada finally does something about the defective Rogue 2021 cars.  Took a brand new Nissan out of the showroom and it malfunctioned . Called them they said bring it in and a part was ordered after 4 weeks. Took it in for inspection and replacement . I took it out again after 30 minutes while changing lanes my malfunction light went on . 
If I got into an accident while using the technology they sold me and persuaded me to get platinum , would they be responsible .
I don’t feel safe in this car , I’m paying through my nose for what piece of failed machinery . Nissan better recall the cars before something terrible happens. They just do blame game shifting responsibility between the dealership and other factors . Nissan horrible service , total disaster ,no responsibility , what kind of company is this . 
They have had multiple complaints and are still selling this dysfunctional car knowing malfunction can be hazardous to be on the road . Shame on you Nissan , entrapping  us in a lease and selling us such a car knowing it has issues abs then not recalling them nor replacing them nor cancelling our lease . 
I hope you read this and take some damn action !!!!!"
Rogue,3 out of 5 stars,"Bought new 2021 Nissan Rogue SV in June 2021. Decision was based on the beautiful exterior/interior design, features available at an affordable price compared to the other brands. Within first two months, the infotainment touch screen stopped working multiple times and would start working again after the vehicle was restarted, loud noise from engine or transmission while driving on the freeway. After the vehicle was restarted that noise is now gone. I am now really skeptical as to what will go wrong next. I am loosing my confidence on the Rogue if it will serve as a reliable vehicle for my family."
Rogue,1 out of 5 stars,"Problem with the AC, the temperature cannot be controlled, it comes out hot from the driver's fans and I took it to the dealer and they told me that it was designed to work that way, which is normal, it drives me crazy. I've tried to get the problem solved but until now they say it's normal and bought a dozen new cars and it's the first time this has happened to me with a 42-mile car"
Rogue,1 out of 5 stars,right away it had transmission issues. Would not accelerate correctly at times. Happened at least five times in three months… not sure why. The RPMs shoot up and the car won’t accelerate properly. Have to turn it off and back on again and then it works. Took it in for that and the recall on the reprogramming of the ABS (got that letter days after my purchase). They did a thorough check on the car and it also needed a new battery!!! Battery was low. What?!! 2021 was a redesign… don’t buy Nissans when they do a redesign. Wait at least a year til they iron out the kinks.
Rogue,1 out of 5 stars,"I leased my 2021 Nissan Rogue AWD Premium package Feb 2, 2021 and I regret it. I have 800 miles on it, live in Ohio and the temperatures can get very cold. The remote starter is a piece of crap. It won't work until you get all the way up to vehicle. The Nissan Connect to start the vehicle isn't that great either.Thank goodness its a trial. I owned a 2018 Rouge, took it in two times out of the 31 months I owned it for issues. 

With this 2021 my first incident happened when we got extremely cold temps and snow a week of me owning. The window and windshield wipers iced up so bad I could barely see. When sitting at a light the engine will idle very high and when I pull off, you would think I'm drag racing. As my foot is on the gas pedal you can feel the vehicle decelerating instead of accelerating. A warning light had popped on and off quickly. When I took it to the dealer they asked me did a warning light come on? I said yes but it quickly went away. They seen an old code but nothing to document. Said it was low voltage light and that's probably why I feel the decelerating as its trying to pull power. Then preceded to say unfortunately Nissan's don't like the cold and not built for it. Are you kidding me!!! I've also owned a 2016 Altima and the 2018 Rogue and never had that issue.

The traction control (VDC)  is kicking on every time I go over this rail road track that's on a slight incline once I'm over it I can not accelerate because of the VDC. and it's happening when the weather is nice and the roads are not wet. This is a dangerous situation as other cars could be behind me trying to get over track before a train comes. The radio is giving me problems. As of today was playing music, received a phone call answered and the music would not play again. Could change stations, but not hear anything. After 4 minutes received another phone call, caller was very low after hanging up the music started playing again. This is my only means of transportation. This will be my last Nissan. These 3 years are going to be so long. Wish I could get out of it now. However, I don't have 15- 17K just sitting around to put with a another vehicle to eat up the negative equity.   

Update 10-8-21
Still having issues. You can feel every bump in the road. The dash on driver’s side started lifting. On the passenger side some of the panels is separating. When panoramic sunroof cover is open and you have the windows down you hear the cover flapping. 
Started hearing front end noise. The list is too long. Nice redesign. But I had enough that I was blessed to get out of it on yesterday."
Rogue,2 out of 5 stars,I had a 2018 Rogue for three years and never had to do any service to it besides oil. I just got my 2021. This is my 25 day having it and it again has to be serviced. First time my low engine malfunction came on and apparently there will be a recall for it soon. Now my remote start doesn't work and its -33 windchill right now.  Super disappointed since I loved my old rogue. Need some reliability.
