model,rating,comments
bronco,3 out of 5 stars,"2 days off the lot, torque converter locks up.  Takes a month for Ford to decide what to do.  Another 22 days for the transmission to be replaced.  Engine does not sound the same. there is a light rattle and some oil or fluid may be leaking from the engine/transmission area.  In an independant shop today. About two months out now."
bronco,1 out of 5 stars,"I’ve had my Bronco Sport for a little over a month and the AC compressor already has gone out. Ford said there’s no parts in stock and I have to wait months until they are available. On top of that, they said there’s no loaner cars available. I paid over MSRP with extended full comprehensive warranty and this is what happens.

I would think twice before buying this car. Extremely disappointed."
bronco,1 out of 5 stars,"Bronco sport looks great and is fun to drive, when it is running.
We have 2400miles on a 2021 First Edition ad the engine failed.
It has been in the shop(about 2 months) at the dealer longer than it has been in the garage at my house.
Take my advice and wait a couple of years until they get the bus worked out"
bronco,1 out of 5 stars,"Picked up Bronco Sport First Edition in May.  Currently at 4700 miles after completing a 3000 mile road trip.  Bronco performed wonderfully during the road trip, which included driving through down pour.  During an errand,  my wife was unable to start the Bronco warning lights flashing and alerts being generated and the parking light was flashing on the shift knob.  The Bronco started after holding down the start button for over a minute and after the system cycled through the error messages.  Bronco has been with at the dealership for over five days.  Dealer thinks possible electrical problem but still researching.  Contacted Ford customer support to log problem ticket for some sort of compensation."
bronco,2 out of 5 stars,"36k  price.  Loved this car up until I hit 2400 miles or less.  Noticed when I backed up and turned out of my drive way;  I heard a loud rough grinding noise last Thursday. I took it in the following morning to Ford they backed up two times but heard nothing and tried to send me away.   I insisted on them checking it out again.  Left it overnight and they still don’t know what is going on with it.  Not too happy with the Bronco Big Bend now.   Have an escape that is  not making the noise when I back up and turn out of my driveway. 
Anyone experiencing this??"
bronco,1 out of 5 stars,Had  power train malfunction warning lights going off as I was driving it off the lot. Warning lights go off every-time I drive it. Was in shop 3 weeks of the 1 month I owned it. Ford refusing buyback . I tell anyone & everyone I know not to buy a Bronco because Ford doesn’t back their cars.
bronco,5 out of 5 stars,"So far I’m loving everything about this from the look to the feel to the little details. It’s a pretty basic Big Bend model with the tow package and not too many other upgrades. I’m not one for extras and wanted to keep the pricing as reasonable as possible.

I am in South Jersey and haven’t seen a single other one on the road yet...this is definitely turning heads. If there is one thing I’m not crazy about, it is the “Auto-Stop” function that shuts down the car at lights. I’m really not used to this and it feels kinda rough when it re-starts after shutting off for the light. Luckily it is possible to disable it and I haven’t used it at all. 

Ive driven it a pretty good deal both city and highway over the past couple days and am really really enjoying it! I’ve mostly stayed in “standard” mode (option of Standard, Sport, Eco, Sand, Slippery) and have been getting PHENOMENAL gas mileage all things considered. Also a very smooth and consistent ride as long as I keep the frigging auto stop/start disabled. Feels good on acceleration despite some reports of it feeling a little sluggish. Not mine! Feels great up in the 60-75 range too...nice and powerful. I’m not pushing it at all until I hit over 1500k on the miles. 

Absolutely in love with it so far!"
bronco,4 out of 5 stars,I absolutely love my Ford Bronco Sport.  I've had it for six months now and have replaced the windshield THREE TIMES!!! Any little pebble that could be a chip is actually a crack that runs pretty much across the glass.  This is definitely an issue that Ford needs to address.  I've spoken with my service advisor and he had nothing to say.  This should be a recall.  I cannot keep claiming poor quality windshields to be repaired by my insurance.  RECALL THESE WINDSHIELDS!
bronco,4 out of 5 stars,"I bought the Big Bend model in June, and within a few days, the information display went blank. It came back on, but it has gone off and on for a month. I finally got an appointment to take it in last Friday after waiting 3 weeks. The service dept. had it from 8:00 a.m. - 6:00 p.m., and they couldn't replicate the issue. I gave them pictures of the blank screen from several different dates. I brought it back home. This morning, Monday, I started it up, and the information display was blank. I drove it straight to Ford and kept it running until the tech came out, plugged his computer into the car, and said ""the computer"" wasn't showing any problems. He said they will have to contact Ford to see what they want to do about it. Boo Hiss...I gave up my 2015 Ford Fusion that had next to zero problems during the 6 years I drove it for issues within days of purchase.

UPDATE 9/4/2021: They replaced the instrument panel, and I've had no issues with it so far for the last month or so."
bronco,5 out of 5 stars,"I bought my Bronco Sport Outer Bank mid September 2021 and I love it.  I traded in my 2019 Ranger XLT and the Bronco Sport is a better size vehicle for me plus it is more fun to drive the Bronco Sport.  I have had many compliments on the looks of my Bronco Sport which is white with the black top.  I was a little concerned that a 3 cylinder engine at 181 HP wouldn't have much power but I was definitely wrong.  It has plenty of power.  The seats are comforable and the ride is very good for a short wheel based SUV.  On a recent trip of 2,500 miles including city miles, I got 28.8 MPG.  I was driving 75 MPH on the highway so I was quite pleased with the mileage and that trip was done with the ""Normal"" setting, not ""Economy"".  I do have two small complaints, the engine will rattle a little on idle and the visors are a little too big.  If I put them down in the front, quite a bit of my view is blocked from the road.  Ford needs to put a smaller visor in the Bronco Sport."
bronco,2 out of 5 stars,"Have had the bronco sport for 4 months. The WIFI stopped working had to reboot entire computer system. Front fender mud flaps have both fallen off, bluetooth cuts in and out constantly, back window leaks water into the car every time it rains or go through car wash, tons of rocks are stuck in my rubber trim due to design flaw on car. Dont buy until they get it right. To top if off they want me to leave my car for a day or two and will not give me a replacement"
bronco,5 out of 5 stars,"Just had the opportunity to drive the Badland edition, and I really liked it. I immediately dismissed it previously as a rebadged Escape, but I was surprised. Firstly, very good driving experience. The engine has good power, the steering has good feedback and great on-center feel, and it's refined. It felt really solid, and I was not expecting that at all. On the highway, I caught myself going over the speed limit many times due to its refinement. Comfortable interior, and really powerful heating/heated seats. I just really loved how solid it felt going down the road. The AWD system is really good! Turning off the stability control, it was really easy to get rotation in the snow.  I had to drive it to the airport during a snow storm, and it felt so stable on the highway!!! The headlights are really good! Really, I wasn't expecting to like it so much since I drove a new Escape and it felt really different. I liked the stiff ride, as it imparted a solid feel to the vehicle. The driving position is great, and it looks great in person. Like a mini LR Defender. The sculpted hood is really cool to look at when driving. Lastly, I loved the size of it. Truly maneuverable and agile. In terms of downsides, the 2.0T seemed to really eat gas. Probably because of the aerodynamics and the good performance. Also, the speakers were truly mediocre. There was a very obvious rattle under heavy bass. Overall, I'd really recommend it. It's priced higher than other subcompact SUVs, but it truly feels more expensive due to its solidity, good performance, and solid driving dynamics. I'm a fan!

Edit: The transmission calibration was significantly better than in the Escape. That was one of my biggest qualms I had with the Escape. In the Bronco Sport, it felt pretty well tuned."
bronco,2 out of 5 stars,"Bought the Bronco Sport and within a week I noticed some strange creaks and rattles. Long story short, had to have the entire transmission replaced and while the noises became more subtle/quieter they still existed. The windshield glass also started to crack. You’ll read on the forums about owner transmission problems along with the windshield glass being fragile. Bronco Sports are made in Mexico which is notorious for having quality issues. These vehicles are all looks and cheap short cuts underneath. I can’t see these vehicles having long term viability and no regrets about selling mine. Compared to its competitors, the BS build quality is really quite poor."
bronco,2 out of 5 stars,I purchased my vehicle April 2021 with approximate 50 miles so brand new. When driving it vibrates sporadically. When I reverse in the morning it makes this loud hard noise which was scary at first. I tried to schedule an appointment they didnt have any and could not provide a loaner car. I’m at 5800 miles tried to make appointment through the app during the month of September there is no availability. I’m just going to go in tomorrow and hope to have some luck.
bronco,1 out of 5 stars,"Be aware! My moonroof/sunroof shattered/ exploded and came off my frame while driving, the scariest thing ever, I had to have the car towed to dealership. They just all seemed baffled and said they’d do everything go get it fixed Bc the car is 4 months old. The dealership/ford has no answers for me, other than waiting on a service rep to make a decision on my car/life/livelihood that I’m paying on and not driving, how does that make any sense?! It’s been weeks, I’m beyond devastated having this happen to a brand new car. I will not EVER be buying a ford"
