model,rating,comments
crv,5 out of 5 stars,"This is my second CR-V (still have my 07 which is still going strong with  175k miles:)
I love everything about the 2021. Drives like a bigger car in a good way, substantial and safe. The interior is lovely. Luxury feel without Luxury price.
Also, regarding all the reviews that complain about confusing infotainment system, if I can figure it out (without the manual) ANYONE can.
Love my Sonic Gray Pearl CR-V"
crv,4 out of 5 stars,"Awesome space. Brought the car for the spacious cargo and got it around for 28325 for EX trim. Guys, nowadays dealers are giving a good price. Please check with another dealer to get the price. Initially, I was hesitant to get this car. Now I am happy with the price they offered. Drove 3000 miles and super cool"
crv,3 out of 5 stars,"Ive had this car for 3 mths. bought brand new. Drives great, but the paint is terrible. Thin and soft. So far Ive had like 5 rock chips and there are some scratches from the unknown. I did not get paint protection on this car because other cars Ive had in thr past never needed such thing. Cars made today should be painted better."
crv,5 out of 5 stars,"Boy, do I love this car. It feels like it sometimes is driving itself with the lane assist. I love the seat warmers. I love the sound system. I love that I can take a turn and it grips the road. I love that it is so smooth driving and going over bumps. I love that I can put my GPS from my phone on it's more than ample big screen. Did I say-... I LOVE MY HONDA CRV!!"
crv,4 out of 5 stars,"Chose this car over similar ones in this class as drove the nicest.  Is quiet, adequate power, 
The bad, headlights not so bright, seat feels like a park bench."
crv,1 out of 5 stars,"Purchased a new 2021 CRV in August.  We have only put about 3,000 miles on it and went to start it the other day and it wouldn't start.  The whole dash started flashing with all kinds of failures.  We checked the battery, fully charged.  Had to call for a tow.  The Honda dealership couldn't start it either.  The codes were U0100 F-can malfunction and U0038 IMA Can Malfunction.  They don't know why and said it's an intermittent issue that could happen again.  My Honda warranty does nothing for me since they couldn't locate exactly what was causing the two codes to appear.  They wiggled wires, cleared the codes and did a battery reset but found nothing else wrong. I specifically bought a Honda because of I thought they were supposed to be high quality and a car I could rely on.  Now I'm scared to drive it as who knows when the intermittent issue will happen again. Is it going to fail while I'm driving?  I've lost all trust in my brand new car and prefer to drive my 14 year old Toyota instead.  $33k for a lemon, buyer beware."
crv,5 out of 5 stars,The CRV EX-L has great pickup and an amazingly comfortable ride. It’s very spacious and you can’t beat the mpg.
crv,3 out of 5 stars,"I totally hate the auto start/ stop feature. You should be able to disable it from the ""SETUP"" program and/or adjust the delay for the engine shut down. Main reason I hate it is that it is my wife's car and is typically driven on very short trips around town. Typically she goes thru 6 start cycles in under 5 miles., 3-4 times a week. The battery never recovers above 12.25 volts .  .  .  which is a 70% charge state. YES . .I know there is a disable button you can push every time you start out. BUT . . .it is very poor engineering to have to do that. I am looking at a battery maintainer to save having to replace a $200. battery in the near future."
crv,1 out of 5 stars,743 miles on it . Merge on interstate and lose power and dash goes crazy with system failure messages . Talk about fearing getting killed before can get off road!!
crv,5 out of 5 stars,"We just got the 2021 CRV Touring on a beautiful Sonic Gray color. We've had CRVs since 2002 and this latest model has a great feel on the road, no road noise which used to be an issue and the Touring comes with all the bells and whistles. Also the cargo space still is excellent, the turbo renting is very responsive, we will see how fuel efficient is but we expect it will be very good."
