model,rating,comments
cx5,5 out of 5 stars,"I moved up, way up, from a 2013 GMC Terrain. The CX5 GTR is great! The power is fantastic, the ride is soooo much smoother , and the build quality is in a different universe from the GMC. The CX5 is very quiet, the Bose sound system superb, and the turbo flat out hauls a..... I looked at RAV4, CRV, ENVISION, Santa Fe, and RDX. The RDX was the only one even close, but was way more expensive."
cx5,5 out of 5 stars,"We looked at several models but were guided to the CX-5 based on expert reviews.  We had an older Mazda which helped with loyalty cash and are now a fairly rare two Mazda household.  We think reviews generally are pretty accurate about the CX-5.  I wanted something in the CUV category that was not the ""corporate issue"" so the Mazda moved up the list just by being somewhat more unique that many of its top competitors.  After driving a couple of competitors, it was obvious that the CX-5 has a level of performance that is well above its peers.  I debated whether to go with the turbo but quickly disagreed with the reviews about the base engine being wimpy.  We don't plan to trailer but the CX-5 has repeatedly demonstrated more than enough power to easily pass anything else when needed. The handling is much more like a sports car (former Audi A4 owner) than an SUV.  The appearance is just plain stunning, esp. on the interior.  The Soul Red paint turns the vehicle into a head turner on the road or a parking lot.  Mazda did a nice job with the level of features at each trim level and easy increases in pricing as one steps up the product line.  We went with the Touring w/ the Premium package which has nearly all of the most important features of the higher models - other than the turbo engine.  The suite of safety and tech features is impressive -and does increase as you go up the model line but even the Touring has stuff that will help keep you out of an accident and reduce driving stress - and it all works very unobtrusively.   I don't mind not having a touch screen infotainment center since it would require leaning forward to touch it while the controls on the center console can be easily used without looking.  The smaller interior size wasn’t as important to us but it can make the difference if you haul a lot of stuff – which we don’t.  The only disappointment so far is the Yokohama Geolander tires that are not well rated.  I haven't had any performance issues with them but I suspect better tires could bring road noise in the cabin down even further. It is also worth noting that the CX-5 is only made in Japan (Hiroshima) and has no U.S. content – if supporting U.S. industry matters to you.   
Mazda did a great job in creating a high-quality product that has some very unique characteristics in a class that is not only highly competitive but where many models stumble on one or more key attributes and still act or look a lot like each other.  
We are very happy with our new CX-5."
cx5,5 out of 5 stars,"I just brought home a '21 Signature after owning a 2016 GT for the past 5 years and could not be happier. Mazda's approach seems to be continuous refinement which is apparent in this iteration. My priorities were driving experience--handling, ride, power, AWD snow performance--and also luxury. MPG, minor off-road capability, and cargo space were down the list. Although exterior styling is refined rather than aggressive (see the RAV4), the overall aesthetic remains appealing and the interior is at a near-luxury level. I test drove the '21 RAV4 and it drives ok but simply can't compete with CX-5 (IMO). Although if a person plans to keep a vehicle for 15 years it is hard to beat Toyota's track record.

The Bose system is impressive and the ability to adjust it to individual listening preferences is noteworthy. The new infotainment system has improved significantly over the past 5 years and I am an enthusiastic convert to the no-touch screen and console commander control wheel. The screen resolution and user interface reflect a major evolutionary improvement that was easy to learn based on prior experience. Interior surfaces and design are refined and although some reviewers complain about the lack of a panoramic roof, that was a non-issue for me as I rarely use the existing moon roof. 

My non-turbo 2016 GT was engaging and fun to drive and the '21 Signature takes these characteristics to a new level. I've had it in 4-6"" of snow and it performs very well, even with the all-season OEM Toyo A36s. I was surprised, and hopeful, that they will perform better than the A23s that came on the 2016 GT. Curvy canyon roads elicit a spontaneous smile in any weather--sun to snow.

This Signature is only my second Mazda; previously I owned multiple Subarus (Outback) and a couple Toyota Highlanders. These are great vehicles, but I've now been spoiled by Mazda. I've rented a number of compact SUVs over the past few years ranging from Jeeps to Nissans and Chevy/Fords and none impressed me like Mazdas. I did look briefly at the CX-9 but didn't need the 3rd row. 

The CX-5 Signature checks off all my boxes. Improved Mazda reliability noted by consumer groups is a nice plus and I suspect this reflects their focus on refining, improving, and tweaking existing proven technology (engines, transmission) rather than jumping to the next new thing (e.g., CVTs—ughh). Their turbo has been out for several years and I am hopeful it will hold up well while helping to make the driving experience an absolute pleasure. Turbo lag is minimal, and I suspect that as I learn the throttle characteristics, it will be rare. I think that the Mazda CX-5 is a great and underappreciated (based on sales) vehicle."
cx5,5 out of 5 stars,"This car lives up to its billing. It drives great, is relatively quiet on the highway, and the red paint job stands out in a crowd of boring white and grey cars that litter the highways. My only complaint is that the seat is too firm for my liking. It purchased a seat cushion to soften it some but then the seat cooling and heating function isn't useful. The interior design is very luxurious for a car that is inexpensive. It's a good choice for those not looking to break the bank and are okay with a small SUV."
cx5,5 out of 5 stars,"I've had my 2021 Signature CX-5 for 2 months now and am thrilled with my purchase. Having owned a 2009 Mazda6 in the past, I expected excellent handling and this vehicle delivers. The steering is quick and accurate with the suspension providing a firm and controlled, but not harsh, ride which I find comfortable and reassuring. The turbo is definitely a good addition to the standard engine. While not a race car, the acceleration is linear with minimal turbo-lag and more than enough from either a standing start or for passing on the freeway.

The interior is very driver friendly and near-luxury. The driver's seat is comfortable and easily adjustable. The cabin is quiet enough for conversation at normal volume even at highway speeds. The 10 inch screen is well placed so you don't have to take your eyes off the road to view. I am not a fan of using a touch screen while driving so I appreciate the control wheel and push button controls which are easy and intuitive to use. I thought having Apple CarPlay/Android Auto was a ""must-have"" for my new vehicle, however I've found that I rarely use the feature since I actually prefer navigating with the Mazda system over Google Maps and usually listen to subscription satellite radio. Nevertheless, it works well when I do connect my phone.

I also appreciate using buttons and knobs for the climate control system rather than having to navigate through screen menus. Again, a thoughtful design to make it easier to use while driving.

All in all, I am very pleased with my purchase and anticipate many miles of enthusiastic driving."
cx5,5 out of 5 stars,"New additions are automatic folding outside mirrors, cooling seats, larger display, Android Auto, Apple Play, Bose stereo system, heated steering wheel & seats, and so many other safety features. Be sure to get the Grand Touring model."
cx5,5 out of 5 stars,"This is my second CX-5! I previously had the 2017 CX-5 GT with the Premium Package, which was fully loaded at the time. I knew from day one that when my lease was up I would be getting another one. The 2021 is amazing in every aspect. Comfort, Features, Power. I love the upscale interior, the 10.3 inch screen to be exact! Everything from top to bottom is perfect! I recommend the CX5 to anyone looking for a CUV! It's like driving a BMW for Toyota money."
cx5,5 out of 5 stars,"The CX 5 GTR is equipped better than most Luxury Compact SUV's.  Mazda has taken care to build the car so it's pleasing to the eye yet is very fun to drive.  It comes standard with more equipment than many Luxury brands and at a reasonable price.  The Turbo 4 has plenty of power and can run on regular fuel.  It may have less cargo space than others in the market, but is more than ample for most uses.  Originally we were looking at the Lexus NX, Acura RDX and Audi Q5, yet the Mazda comes better equipped and a far lower price.  If you are in the market for a Compact SUV, take a look at the CX 5 it will surprise you."
cx5,5 out of 5 stars,"If you are looking for a safe, stylish, and simple car to drive, the Mazda CX-5 Touring Preferred is your best choice. It gives you leather seats, blind spot monitoring, Apple Carplay, power gate lifting, keyless entry, remote start and so much more. For a reasonable price you can get everything you need to enjoy a short or a long ride. The safety features are one of the highest in the market and the style of the car is comparable to any high-end vehicle for this class, size and price."
cx5,5 out of 5 stars,A nice upgrade from my Honda Pilot. Sporty and so much fun to drive. So many extras make this a dream to drive. I am loving my Mazda!
cx5,5 out of 5 stars,This is a peppy small suv.  It handles well.
cx5,4 out of 5 stars,"The CX-5 Grand Touring (base trim - no Prem Pkg) is my second Mazda to lease, and overall I'm pretty pleased. Having come from a larger 2018 CX-9 Grand Touring, the 5 is a great CUV that fit within my current budget. Its ride is a bit on the firm side, which will take time getting used to, after having the smooth ride of the 9. The non-turbo engine, however, is peppy and punchy, especially when used with the manual / paddle shifters in Sport mode. The larger 10.25"" info screen is also really great. The one feature that falls terribly short, in my opinion, is the Bose stereo. The sound, even with the treble at its highest setting, sounds muddy and muffled, and doesn't have the same crispness and depth as the Bose systems in the 9, the new 3's and the very new CX-30. Being in year five of its current generation, the 5 would benefit GREATLY from the same Bose 12-speaker system found in the new 3 and CX-30. That particular upgrade would raise the bar for this CUV sky-high."
cx5,5 out of 5 stars,"I just leased a 2021 Mazda CX-5 Grand Touring at the Byers Mazda on Billingsly Road in Dublin, OH. So far the vehicle works great. I wanted to upgrade from my 2018 Mazda 3 hatchback due to hip and back pain in order to assist in comfort and ease in getting in and out of the vehicle and for sitting for long periods of time. In the short time I've driven it, I've already noticed a different. I feel extra safe in this vehicle as it has so many fancy safety options that I didn't even know existed. It is a smooth ride, very quiet, and runs great! This is my third Mazda and even after looking around at other brands, I still chose Mazda. Great quality vehicles, great sales, and great service!"
cx5,5 out of 5 stars,"While this car was originally my third choice––and the last make and model that I test drove––I immediately was sold on the comfort, style, and performance. I drove it 1700 miles within two weeks of the purchase, and it was the most comfortable ride I've ever had. The safety features, the sound system, and so many other factors made the trek through mountain passes and the desert very enjoyable."
cx5,5 out of 5 stars,"Very Happy with the car so far.  The CX-5 has plenty of power with the standard engine.  The car was purchased for my wife and she is the main driver.  She loves the Red color and the optional moon roof and the Alloy wheels.  The CX-5 has plenty of room for even for big guys like me.  I have driven the car about 100 miles so far and it handles great.  My wife on the other hand is still getting used to the handling.  Her last car was a Ford Fusion which had a much different ride. She just needs to drive it more to get used to the different handling.  I have a Chevy Traverse which has a similar ride but softer because its a larger vehicle.  Overall we are both happy with the purchase.  Wayne Mazda in NJ gave us a good deal and we would recommend them.  We narrowed down our decision to three vehicles.  The CX-5, RAV 4, and Nissan Rogue.  I had already made up my mind but my wife was undecided until she saw and I test drove the CX-5.  The style and color won her over."
cx5,4 out of 5 stars,"I have had my 2021 CX-5 for several days now and for the most part think it is perfect. I purchased a white one in the Grand Touring Reserve trim and it has everything I could ever need. The build quality on literally everything is superb. The one issue I have with it, is in how the stereo system is controlled. There is no way to easily switch through my favorited XM stations without taking my eyes off the road and going through multiple actions on the console control system. Oddly enough, there is a way to semi-easily flip through the 100+ other stations that I don't listen to. Both the Mazda3 and the CX-30 have functionality on the volume knob that allows for switching through your favorites by pressing left or right, but when you pay more money for the CX-5, this isn't included. Overall, I love the CX-5, but if I would have known about this issue before my purchase, it may have been a deal breaker, since it creates a major distraction anytime I want to change the radio station to one of my preset favorites."
cx5,5 out of 5 stars,"After driving an Audi Q5 for years (which I loved), I actually love my Mazda CX-5 Carbon Edition even more! It feels modern and sleek. I had no intentions of purchasing a new car, let alone a Mazda. They won me over. I am so happy with my purchase."
cx5,5 out of 5 stars,"It has a really good ride. Are family is coming from a 2014 Buick Enclave. And the Mazda has as smooth a ride, comfort and minimal road noise as the Buick. Fuel economy was the same as the Buick as well. The engine is snappy and plenty of get up and go for traveling. I enjoyed the cruise control option. A person can go in front of you, your car slows down to maintain a safe distance, and then accelerates when able to. Automatically. The steering wheel operation keeps your mind on the road. Will be buying more Mazda’s in the future!!"
cx5,5 out of 5 stars,"This is an excellent car. It is on a different level than Toyota, Nissan, Honda. Of course, all of them make excellent vehicles. But non of them talk to you. They are practical, some are reliable, but it is about it. This car is eye candy inside and out. I am excited to drive to and from work everyday. Fit and finish inside of this vehicle is super. I had plenty of luxury brands to compare. Car is very quite and refined. This is premium vehicle premium and one can pay for it mainstream price. Thank you Mazda. Also, seen someone complainig about Bose system. It is better IMO than Toyota's, Honda's and Subaru's that I tested. Again, for price point it is more than acceptable."
cx5,3 out of 5 stars,"The Mazda CX-5 is a nice SUV as all the reviews agree, but it's not for everyone. The sporty image Mazda is striving for results in heavily bolstered front seats that are not comfortable for everyone. The turbo charged engine is only available on the upper trims pushing $38-40,000, and the Carbon edition with an MSRP of about $33,000. We went looking for the lower priced way to get the turbo, but dealers are treating the Carbon edition like it's already turned into a diamond, adding $5000 to the sticker plus the phoney alarm for $1300 and the Scotch tape on the door edges for $399. Dealers seem to think buyers will forgive and forget these scams when inventories grow in the next few months, but I have never gone back to one dealership that tried to screw me over in the 70's and I have put this Mazda dealership on the same list."
cx5,1 out of 5 stars,"At 55, after buying Fords, a Maserati, and two Nissans and having driven Hondas, Toyotas and several sports cars and SUVs, I purchased my first Mazda based on commercial site reviews.  Looking for safety, reliability, and a great price with a loaded car.  Wanted to down size.  Thought I had found it in the CX-5. My test drive was short. My fault. Because I realized after driving the CX-5 the first day I bought it that that the front seats are beyond terrible. If you are over about 50 or have shoulder or back problems, avoid this car. The seats will make you suffer. We just got back from a 5 hour both ways vacation drive with less than 150 miles on the car starting out and by the time we got back we want to sell it even for a loss. Our backs and shoulders ached the whole time. The seats are so stiff, have no leg room support, and are so ergonomically painful, that no engineer who designed the seats could have driven any time in them or is a moron. We have since researched seat issues with this car and unfortunately  now know that this is a huge issue with this car. Hard to believe that a car company could design a beautiful, highly equipped, reliable and safe car that is ruined by its horrible car seats. We will be selling this brand new car at a loss because it hurts our backs and shoulders and nothing is more miserable than trying to drive a distance in pain because of short, rock hard seats."
cx5,5 out of 5 stars,Feels like a much more expensive car than it is. Mazda has a lot of nice touches built in to the vehicle.
cx5,4 out of 5 stars,"This model and trim is a joy to drive, make sure the sales person reveals all the adds to the window stricker price i.e, mazda price increase, dealer installed options."
cx5,5 out of 5 stars,"After owning cx9 and 3i , surviving bad accident in the 3 , we decided on another Mazda. Had zero problems with other two. So yes we love our 2021 cx5 gt.
AwD. Daughter got two cx5 also. Reliability and fun are what Mazda's are about! # 1 consumers reports too."
cx5,5 out of 5 stars,The 2021 Mazda CX5 handles very well. Great acceleration.  Looks very classy and I love the interior of the CX5. Very sturdy and enjoy driving it! A great vehicle for the price!
cx5,5 out of 5 stars,"Cons: lower than competitor MPG, cargo room, somewhat boring-looking rear design, a bit chunky, visibility
Pros: Great overall design (especially the front), top-quality interior, great powertrain options. Basically everything else is top notch."
cx5,5 out of 5 stars,"I've had my Signature now for about 6 months and have put 10k miles on it (runs between NC and MA).

First, a shoutout to Edmunds Mazda leasing information person who responded quickly to my request.  Got it just before going into the dealership and shamed them into rolling back the 3x lease rate they wanted initially.  Great info, and wonderful responsiveness!

I had resisted going the SUV route for a long time, but the sporting drivability of this vehicle has won me over.  I love to power into corners and feel the rear-wheel steering adjustment improve the tracking is wonderful.  And yes, the suspension is stiffer than some people like, but it also improves the driving experience for me.  Take a spirited test drive if you're not sure.

Coming from an Infiniti Q50, I still miss rear-wheel drive acceleration on occasion, but it looks like the CX-5 (CX-50) will have that when my lease is up so I can live with this quibble for now.  And although the CX-5 doesn't have all the luxury bells of the Infiniti, I still love getting 90% of it at 65% of the price!

Another ding is space, for people and for storage.  I have not had any complaints about people feeling like there's not enough room for them, so not a problem for me.  I will admit to occasionally wishing for a few more inches of storage space though.  I can work through it by reclining the front passenger seat though, so no showstoppers yet on the storage side.

Fit and finish are very well done.  I wasn't sure initially about the Caturra leather being the only seating option (brown?), but it's such a rich color I love it.  Ergonomically, I would wish for more aggressively bolstered seats, but my friends all think the seats function great from their perspectives.

The non-touch screen required only a short acclimation period; the controls in the center console are easy to find by touch and then get to navigation, entertainment, or communications.  I'll grouse about my inability to use voice controls effectively, but it's most likely me.

All in all, a great first SUV for me, and a great choice for others!"
