model,rating,comments
forester,5 out of 5 stars,"Very comfortable, great head room, superb views from all windows. Substantial cargo area in hatch. Large glove compartment. Turn signals are not obnoxious, as most vehicles tend to be. Windshield and rear window wipers are large- sweep very well. Steering radius is fantastic!!!"
forester,5 out of 5 stars,"I researched all the small and medium-size SUVs for a replacement for our 2016 Hyundai Tucson Eco and the Forester seemed the best choice. It broke our string of five no-problem Hyundais going back to 2000. The Forester delivers in all categories. It's roomy, economical and safe. The gas mileage is between 33-35 on the highway and 31-33 combined. It's about the same as the Tucson. A lot of magazines criticize the CVT transmission, but it's a welcome change from the dual-clutch in the Tucson which was really the only complaint. The Forester is more comfortable and has more cargo space. It's quiet on the highway and the full-time 4-wheel drive is fantastic in the rain. I love the car. Only complaint is that trying to figure out all the electronics is baffling. But, eventually, that will come around. One feature I don't like is that the engine shuts off when you stop in traffic for more than a few seconds. When you lift your foot off the brake, it sort of bangs back to life. There is a switch to override this function, but you have to turn it on every time you drive the car. There should be a permanent override or simply do away with this supposedly environmental function. We purchased the base model which had the wheel upgrade and interior rubber mat package. Our dealership was fantastic to work with and overall I feel we got a great deal."
forester,5 out of 5 stars,"After 30 plus years driving Toyota vehicles I am a picky hard sell to change.  My dealership would not deal with me so I changed to Subaru with hopes of similar reliability.  My 2021 Forester limited has more options than a RAV4 limited and for over 3k less.  Standard AWD, comfortable ride and better mpg.  Just did a 300 mile weekend trip and the vehicle was great!  So far very happy with my first Subaru.
9/25/21 - not one issue with the new Forester.  Still rides quietly and solid with 3k miles.  I find the agile handling is confident and quick.  I like the eyesight auto cruise driving system to be very helpful for long drives.  In mostly city driving I’m averaging 24 mpg.  Great vehicle.
3/27/22
Odo reads 6k miles.  My Subie has been problem free.  Owning 3 previous Camrys I needed an suv that was comfortable and quiet.  The engine roars during hard starts but is still quieter than the RAV4.  Comfy drives and highway trips avg 31 mpg."
forester,5 out of 5 stars,"We purchased this car to replace our 2007 Edge.  Was not sure if we were going to like it since it was not as heavy.  But after driving it, we Love it.  It is almost the same size as the Edge and has much better visibility.  It has plenty of pep with the Boxer 4 cylinder and do not have to deal with a turbo.  I like to do my own oil changes and this car has the oil filter sitting right up on top in the front with the threads down...so easy and no mess.  The transmission is sealed so I do not have to deal with the fluid.  We got the base model with a couple of upgrades....roof rack and 17 in alloy wheels.  There is still plenty of neat things on it without spending the extra money....unless you want them, which we did not.   All in all, the more I drive this car the more I like it."
forester,5 out of 5 stars,"Just traded in my 2015 Subaru Outback 2015 Limited for a 2021 Forester Premium. I may have given up a teeny bit of luxury but I gained immensely in new safety features, those adaptive LED headlights and all that wonderful open interior and panoramic sunroof. I love that it is much shorter and narrower than the outback and it is a smooth wonderful ride.  Nice pick up. I am really enjoying my new Forester!!"
forester,5 out of 5 stars,"Love the safety features especially the front & back eyesight driving.  Sure helps when backing out of busy parking lots!  It also alerts you of auto & pedestrian movement on the sides of your vehicle. Great safety feature!

Also for those that have difficulty driving in the dark, the headlights turn with the car so no blind spots on corners plus you can set the lights to bright & they will automatically dim when another vehicle is detected & then return to bright once it has passed.  

Alot to love about being a Subaru owner!"
forester,5 out of 5 stars,"Picked up my 2021 Forester Touring on Saturday and wish I had looked at Subaru years ago.  A much better product than Honda.  Solid in every aspect - my prior 2019 CRV was all over the road in bad weather (snow, rain and wind).  Made the switch to go back to AWD and it is like night and day.  IMHO there is plenty of acceleration to get on and pass on the highway (was worried when reading reviews) but it has plenty of get up and go!  Comfortable and a pleasure to drive - went out on Sunday and drove over 150 miles and didn't realize it - did not want to get out of the car.  The only complaint - and it is MINOR - is the placement of the lap seat belt attachment.  Different placement and size compared to the Honda, but everything else is top of the line.  Lots of tech (if you want to use it).  As a long term Honda owner (owning the Pilot, CRV, Element and Odyssey) the Forester is hands down the best vehicle I have owned."
forester,5 out of 5 stars,"So far this vehicle has proven to be every thing I read about it and even better on gas.  A lot of  electronics to learn, but nothing that really effects driving it. Great sound system. Subaru is one of the last cars to offer a cd player, which is part of why I bought it."
forester,5 out of 5 stars,"So far, very pleased.  Very positive handling.  We have the Touring model, so it requires some skill to complete all the programming.  It took a while to trust the lane centering, but it really does a great job, as does the adaptive cruise control.  I was a bit concerned about the power after reading some other reviews, but I can say that the vehicle's power is more than adequate.  Quality of build is absolutely superior.  Can't fine one flaw anywhere in the interior or exterior of the vehicle.  That's the quick review."
forester,5 out of 5 stars,"Traded in our 2016 Forester for the 2021 model and couldn’t be happier. Both models were the Premium line and there is so much more included in the 2021 over the 2016 that it is amazing. The ride is superior and so is the road noise (much quieter that is). Instrumentation and comfort is also much improved. So far couldn’t be happier. One thing to note is that because they put more into the car, you now have to purchase the cargo rails separately, but at $200 it was not the end of the world either."
forester,5 out of 5 stars,"I'm a 6'2"" man with an unusually long torso. Most new vehicles come with standard moon roof, and no height control in the passenger seat. This means I do not fit in most new vehicles without special orders. Some of the only vehicles I fit comfortably in, with the trim levels I want, are the Forester (taller headroom) and Outback (standard option to delete moon roof). Luckily I love these cars.

I have a 2021 Forester Premium with the power lift gate package, which adds rear cross traffic alert. The safety is fantastic. Subaru's adaptive cruise control can follow start and stop traffic, or intelligently slow down if the car ahead slows. It can also automatically steer and change lanes, although the system requires a good amount of input. It cannot follow hard corners for instance. Android Auto means I can use my phone's Google Maps for navigation. The tech is quite good even on less-than-loaded models. Overall I think the Premium pack with power lift gate is open of the better options on the market.

It has buttons! I hate the Tesla style over reliance on touchscreens. They get dirty, and they're dangerous to use while driving. The Forester Premium has all the right controls (volume, climate) on physical buttons. Once you commit those controls to muscle memory it's a superior experience.

The engine rocks. Reviewers complain that the engine is smaller in class, while praising best in class fuel efficiency. The two are related. The Forester has similar EPA gas mileage to my old Civic (!), and feels if anything faster. It corners like a dream. My wife is not a performance driver and she is still commenting on the lack of body roll. The Forester comes standard with a CVT which maximizes fuel efficiency. Drivers used to harsh manual transmissions often feel CVTs are weaker because they don't jerk as much. Think of the Subaru boxer engine more like a luxury experience - the power delivery is immediately and smooth at all speeds. I spend 1/3 the amount on gas that my family spend for their Land Cruiser, yet this thing can probably race my old Civic, with similar gas mileage. It's insane.

It is also a Subaru in all the right ways. Tons of storage. I packed for 2 people for a week going cross country, and barely even used the back seat. We arrived at a muddy back road and engaged the X-Mode just for fun. The vehicle had zero issues and I arrived with more energy thanks to the excellent safety features and adaptive cruise control. Equally capable rock climbing as at highway speed.

Complaints? The ride is quite stiff. It feels fine on the highway, but over poorly maintained city streets where truckers have built up brake zone ruts it's like a roller coaster. The infotainment system could be faster and integrate more seamlessly with Android Auto. When I plug in my phone I want Google Maps - make it happen. The steering assist is a bit annoying. It requires such constant input that I don't feel I'm gaining much. However, up models (especially on the Outback) have even more advanced navigation that likely makes this better. The stop-start cruise control with engine cutoff for efficiency is still a winner, it's just not a Tesla autopilot. Storage could be better. The cup holders are far back to put the X-Mode button on display, and the console has fairly small bins, so you're often hunting for a spot to put things. It's not terrible, but you get the feeling if they relocated the X-Mode button you could gain the storage you need. Rear headroom is poor with the moon roof, so rear comfort is a bit of a budget experience compared to the front. Interior is worlds better than the last generation Subaru, but they still need a design expert to to get rid of those last vestiges of awful cheap plastic where your hands go (especially around the door handle, and around the shifter, for me personally).

Overall. Zero issues after a six-hour trip into mountains and dirt roads and mud. Dealership experience was ideal. Fuel consumption is beautiful. Subaru cruise control means you arrive at your destination fresher. Covid financing and warranty options mean I'll be seeing my dealer if anything happens, and right now that seems wonderful. This car makes me and my wife happy. We literally drove it from the lot to a bike shop. Subaru lifestyle is real."
forester,5 out of 5 stars,"For me, an SUV needs to have plenty of well-arranged space, a quiet and smooth ride, safety features, reliability and decent gas mileage. The 2021 Forester checks all the boxes. The Subaru Eye Sight system has to be one of the industry leaders, and has been improved even since my 2019 Subaru. I suspect some might feel that the car is under-powered, but merging onto the interstate is no problem, the fuel economy is much better than with a V6, and thi is an SUV, not a sports car"
