model,rating,comments
rav4,4 out of 5 stars,"We have purchased several Toyota's over the years. All of them have given us great service. Our latest a 2021 XLE has taken the shine off that impression. We hear whistling noises at highway speeds, the engine is much noisier then previous generation and the transmission is also not as enjoyable. Interior sort of jumps back to a more sterile and cheaper finish. I guess everything is still providing a decent experience just not what I have come to expect from past Toyota's."
rav4,1 out of 5 stars,"I think they’re actually may be a safety issue with the 2021 RAV4, I have been trying to get in contact with Toyota and it’s almost impossible.

When I drive starting around 60 to 65 mph, the car gets really shaky and bumpy and feels unstable. I am now noticing this reflected in a few other reviews and I’m starting to think that there actually may be an issue with this exact model"
rav4,3 out of 5 stars,"Yesterday we took the RAV4 on a long distance drive to checkout the features. I like the road sign and lane sway warning feature however we observed the car was swaying and appeared to be difficult to control while traveling around 65-75 mph when LTA and Cruise Control were on. I did not use cruise control during the remainder of the trip.

This seems to be a known issue .. too bad we did not see this issue when we checked out the numerous video reviews on Youtube ......
https://www.cargurus.com/Cars/Discussion-t89236_ds1096909"
rav4,5 out of 5 stars,"I have owned so many cars in my lifetime but never a Toyota. I have bought used cars, cars that were just junk and I have bought new cars and most of them have let me down and failed prematurely. My background in the Military required an immense ability for attention to detail and trust me when I say that when something wasn't right with my vehicle, I knew it. Everything from the steering, to braking, to subtle noises and even distinctive smells that should not be coming from under my engine compartment that certainly hinted at trouble to come.
That being said, I can honestly say that I was thoroughly impressed with the workmanship and quality that was noticeable immediately when inspecting the exterior and interior of my new Rav4. You can feel it when you are driving in the response of the vehicle the way it handles, the way the steering feels in your hands and the purr of the motor you feel under your feet. You just get the sense that this car is going to last and is a worthy investment of safety and peace of mind. If you are considering a Rav4...don't even hesitate...go drive one and I am willing to bet, you will buy it. They are truly amazing vehicles."
rav4,3 out of 5 stars,The 2021 Rav4 very bumpy and shaky when driving over 55mph. The stability on the hwy is so poor and dangerous.  Very disappointed with Toyota safety design
rav4,1 out of 5 stars,"I've always driven General Motors vehicles but in March 2021, I decided to give Toyota a chance after hearing wonderful things about the Rav4.  After having the car for less than one month, I was at a stop light - completely stopped - and my car lunged forward TWICE and hit the car in front of me.  While at the body shop, the technician was pulling the car around and had his foot on the brake and said the RMPs went up and the car lunged again.  I immediately reported it to Toyota after the first incident.  They sent someone to the body shop to perform diagnostic tests.  The test was completed on 4/14.  I reported the second incident on 4/27 (immediately after it was reported to me) and was told they could not do anything until the Toyota engineers review the diagnostic test data.  To sum it up, I have a brand new car that I have not driven since 4/1/21 because I do  not feel it is safe to drive.  Neither my salesman at Van York or Toyota have been of any assistance."
rav4,5 out of 5 stars,"I was surprised by negative reviews of the 2021 RAV4.  I have had mine for a few months and have had no problems with it.  Often new cars have little issues at first, but this one has had none and I hope this continues.  I got the hybrid AWD model.  The gas mileage is amazing and it did really well in the snow.  Hopefully it continues to do well because I was planning to keep it for a very long time."
rav4,5 out of 5 stars,"I love the easy ride and the power to go, go, go.  If I need to get on the freeway quickly, this car has the oomph to do it!  I love the color (silver) and all the bells and whistles.  I plan on keeping this car for a long time."
rav4,5 out of 5 stars,"We recently purchased a 2021 RAV4 XLE PREMIUM trim for my husband. This SUV is amazing and comfortable, as he is 5’11 and I am 5’9”. The 2.5L engine has a lot of pick me up when needed, which I don’t understand how some are saying this vehicle is underpowered, sure it’s no 8cylinder but it has more than sufficient power for everyday use. It’s very roomy, much more than my new 2021 NX 300 makes me like the RAV4 a little more since it’s also very reasonable in price with all the features it brings. We bought ours with just the features the XLE Premium has to offer with no extra add ons, since this is a commuter vehicle and my husband drives 92 miles a day round trip and a full tank of gas lasts a little over 4 days. That’s amazing for it being a gasoline engine and not a hybrid, which we tend to stay away from for now until that technology is a little more perfected. Overall I definitely recommend this trim level RAV4, oh and it’s assembled in Canada which I know from experience produces amazing quality Toyota models. Test drive one for yourself! We traded in our reliable 2017 Camry SE for this one and don’t regret it one bit! We are a Toyota family for life!!!! 

Update as of 10/05/2021 - We are still in love with our RAV4 and it’s been very reliable after 12,000 miles. Only been at Toyota for regular service and get its oil changed every 5k instead of the 10k for extra protection to the engine. I still highly recommend this vehicle for anyone in the market for a reliable and spacious SUV that gets great gas mileage!"
rav4,2 out of 5 stars,"Went on road trip, driving about 80 mph on highway. Big 18 wheeler goes by on right side fine.  A Ford pickup F150 goes by on right side I feel like I got sucked in. Was fighting driving the SUV all the way. And coming back a Mustang goes by on right and the same. Held real tight to the steering wheel and I felt that it was all over the road too. Engine is loud too.  Has anyone else feel this way?  I read some reviews and can't find them.  Getting it checked..."
rav4,4 out of 5 stars,"I hate the sound this years Rav makes when it first excels. It sounds like a truck straining. I loved my other 2 Ravs , neither sounded like this. I wish it was quieter.  Once in an SUV , I don’t want to go back to a car. I hope they change the way it sounds when you start off. My husband also finds it’s tight getting in passenger side without hitting your head ."
rav4,3 out of 5 stars,"I bought this car for my wife. She drove it 2 months and gave it to me. I have driven it for 2 years and I want to give it back to her. Let me tell you the good things first. It’s reliable because it’s a Toyota. It averages 27mpg. Cargo space is useful. It’s cool looking. It’s easy to park. Acceleration is impressive for such a small engine. The bad- cabin is small and cramped. I hit my head when climbing in. The door sill is raised and I catch my foot on it exiting vehicle. Wife doesn’t have a flat surface to place purse on. Doors have no grab point to hold onto and avoid bashing car door on neighbors car you park next to. Interior lighting is poor, can’t see fuel door release in the dark. Engine sounds like a wheat thrasher about to explode under hard acceleration. Car is jittery on the highway and dances in the lane. Very difficult to keep it steering in a straight line without correcting constantly. Low pressure tire light comes on but fails to indicate which tire might be low. Does not have any way to monitor mileage for next service due. SImply comes on when due. Car has various annoying rattles. As soon as the new Frontier arrives, this car will be someone else’s baby. NO GIVEBACKS!"
