Model,dependable,dependable_count,attractive styling,attractive styling_count,safe,safe_count,drive comfort,drive comfort_count,prestigious,prestigious_count,fuel efficient,fuel efficient_count,affordable,affordable_count
RAV4,-1,1,-1,4,-1,1,-1,7,-1,0,-1,1,-1,0
RAV4,0,74,0,77,0,83,0,67,0,87,0,76,0,87
RAV4,1,12,1,6,1,3,1,13,1,0,1,10,1,0
CX-5,-1,0,-1,1,-1,1,-1,1,-1,0,-1,0,-1,1
CX-5,0,44,0,35,0,45,0,35,0,48,0,47,0,45
CX-5,1,4,1,12,1,2,1,12,1,0,1,1,1,2
Rogue,-1,0,-1,1,-1,1,-1,3,-1,0,-1,0,-1,0
Rogue,0,32,0,27,0,32,0,20,0,35,0,30,0,34
Rogue,1,4,1,8,1,3,1,13,1,1,1,6,1,2
Sportage,-1,0,-1,2,-1,0,-1,2,-1,0,-1,0,-1,0
Sportage,0,41,0,34,0,40,0,32,0,46,0,39,0,45
Sportage,1,5,1,10,1,6,1,12,1,0,1,7,1,1
Equinox,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Equinox,0,32,0,30,0,30,0,23,0,34,0,31,0,30
Equinox,1,2,1,4,1,4,1,11,1,0,1,3,1,4
Escape,-1,0,-1,0,-1,0,-1,0,-1,0,-1,1,-1,0
Escape,0,35,0,35,0,35,0,30,0,37,0,31,0,35
Escape,1,2,1,2,1,2,1,7,1,0,1,5,1,2
CR-V,-1,4,-1,6,-1,1,-1,5,-1,0,-1,7,-1,0
CR-V,0,76,0,83,0,89,0,63,0,99,0,83,0,90
CR-V,1,19,1,10,1,9,1,31,1,0,1,9,1,9
Tucson,-1,0,-1,1,-1,0,-1,3,-1,0,-1,0,-1,0
Tucson,0,56,0,57,0,60,0,48,0,63,0,59,0,61
Tucson,1,7,1,5,1,3,1,12,1,0,1,4,1,2
Bronco Sport,-1,0,-1,0,-1,0,-1,1,-1,0,-1,0,-1,0
Bronco Sport,0,17,0,14,0,18,0,14,0,20,0,17,0,20
Bronco Sport,1,3,1,6,1,2,1,5,1,0,1,3,1,0
Forester,-1,0,-1,0,-1,0,-1,2,-1,0,-1,1,-1,0
Forester,0,26,0,26,0,25,0,17,0,30,0,24,0,29
Forester,1,4,1,4,1,5,1,11,1,0,1,5,1,1
