Model,Souce,Comment,dependable,attractive styling,safe,drive comfort,prestigious,fuel efficient,affordable
RAV4,KBB,NONE,0,0,0,0,0,0,0
CX-5,KBB,"Quality leather seating, and a very nice ride!",0,1,0,1,0,0,0
Rogue,KBB,"I purchased this car 4 months ago and have had No Mechanical Problems. What I don’t like is that there are way too many bell’s & whistles. It has taken me several months to turn off the warning buzzers & alerts. I really dislike not being able to shift into park when you stop…everything is all electronic. The touch screen info system is often unresponsive which makes a change difficult when driving. There is a LOT of wind/ road noise T 60mph. At 1,000 rpm the steering wheel vibrates. The dealer said it is “normal”.  Just not satisfied for $31,000.",0,0,0,-1,0,0,0
Sportage,Edmunds,"I test drove the rav4, mazda 5, rogue, crv, terrain, equinox, edge, etc. Out of all of them, this was by far the most comfortable and comparable to my 2012 gmc terrain slt in size, seat comfort, and gadgets.
I love my 2021 sportage EX. Great hot heated seats. Drove some that barely got luke warm. Love the screen and blind spot warning (not a nuisance) as it really has only sounded off as needed. I love all of the features. It drives like a traditional car without the whining of the CVT transmissions. I have been getting better fuel economy than advertised. 26-27 combined.
Hopefully, this will be a mechanically sound vehicle (to soon to tell), but so far the comfort and convenience is everything I was looking for.",0,0,0,1,0,0,0
Equinox,Cars,Very nice handling and tons of room. Love the color and gets great gas mileage. Has tons of cargo room and was priced very reasonable.,0,1,0,1,0,1,1
Rogue,Edmunds,Love every aspect of it.,0,1,0,0,0,0,0
Escape,Cars,Have,0,0,0,0,0,0,0
CR-V,Edmunds,"Boy, do I love this car. It feels like it sometimes is driving itself with the lane assist. I love the seat warmers. I love the sound system. I love that I can take a turn and it grips the road. I love that it is so smooth driving and going over bumps. I love that I can put my GPS from my phone on it's more than ample big screen. Did I say-... I LOVE MY HONDA CRV!!",0,0,0,1,0,0,0
Sportage,KBB,"Very comfortable seats, especially in the mountains. Quiet. No engin noise. Solid feel, especially on the highway.  Good gas mileage with economy mode. Rear seats recline.  Nice feature on a road trip. Info system is good. Turn by turn navigation,  hands free phone is great.",0,0,1,1,0,1,0
CX-5,KBB,"Fun to drive, stylish, good car in snow",0,1,0,0,0,0,0
