model,rating,comments
sportage,5 out of 5 stars,"2021 Kia Sportage SX Turbo, Pacific Blue with Beige interior package (really tan with charcoal edges, HOT! It has every smart safety upgrade, including the fact it can park itself either by backing into a slop or parallel. And then it can unpark itself. It has lane departure, but also will keep one in the lane utilizing adaptive cruise control as you go. Front and back avoidance and braking functions for the unexpected. On and on I could go. I agree with the other reviews about the interior and of course the spectacular panoramic roof (one touch). The glass all around is tinted fading to a lighter tint in front. The roof is tinted, doesn't glare as light pores in, feels cool and refreshing. The SPORT mode in driving as the Turbo to break out of the cage and be the tiger it is. Otherwise NORMAL and ECO modes feel just fine, more than enough power. While it may not be the very top it certainly comes in nice enough. Consider the paddle shifters on the back side of the steering wheel as a case in point, so VERY EASY to use. Infosys allows for every contingency in multiple ways to access. The adaptive cruise control drives, brakes, and adapts to the flow without a hitch, a major relief in itself. The lack of memory for the seats is a bummer but I can live with it. Even the thickness of the steering wheel feels just right. Easy vehicle to drive. 19"" tires lend a sense of security and handling wherever I go. The back cargo space has a spare tire and other space when you lift the lid for storage. It also drops in the event of a taller than normal box. This is a keeper. I wouldn't get the AWD unless I needed it. The mileage is better around town than I expected, 24.5 mpg average. Max they say is 28 mpg on the Hwy. I wonder with adaptive cruise control it won't be better than that (slightly - maybe 30 mpg.)"
sportage,5 out of 5 stars,I bought one; traded in my 2016 Turbo; don't try to sell me anything else. I've looked at infinity (had two and loved them) but for quality and value this is my choice!
sportage,4 out of 5 stars,"Having driven luxury SUV’s the past 20 years, this new Sportage turbo is fun to drive.  Most of the amenities you find in LEXUS models are available with a few omissions, yet at saving about 20k on the sticker price balances the purchase. The touchscreen apps and navigation are far easier to maneuver in the KIA than others.  Seating is comfortable but could be improved with a more sporty wrap around seat and it rides a little high in the cab for me.  The expansive sunroof is killer.  The things I miss are seat memory, seat belt release driver seat back up, one touch window up & down...spoiled I know.  Over all the Sportage was a good financial exchange for us.  My husband drives a SOUL, that’s what made us check out the other vehicles in the KIA line up."
sportage,5 out of 5 stars,The Kia Sportage is a great SUV. It fits me and my four grandchildren comfortably. It has a good amount of cargo space in the hatchback. Great on gas mileage. Handles great. A lot of good features available. Great midsize SUV. I have had 4.
sportage,5 out of 5 stars,Do your homework as I did and you'll make the same decision.  It ticks all my boxes for my needs and I get so many compliments.  We live in snow county and this SUV is a dream on the roads
sportage,5 out of 5 stars,Loved the 2018 and the 21 has more options
sportage,5 out of 5 stars,Love my new car. Love the sportage. Its the perfect in between car. Not too big and not too small.
sportage,5 out of 5 stars,Bought the 2021 Kia Sportage LX. Has everything but nav. Leather. Sunroof. Compared with Honda CRV. Toyota Rav4. Hyundai Tucson. MazdaC5. List $28700. Bought for $22450 plus total. Awesome build drive quality. Warranty best in lass.
sportage,5 out of 5 stars,"This is one of the most comfortable and smooth-driving vehicles i have ever owned. Tight steering and throttle, and the engine seems perfectly paired with the 6-speed transmission. The paddle shifters are almost redundant, as you can down shift more smoothly with the gas pedal. It has two downshift points, you just have to find them. It floats over bumps that my 2017 Taurus would channel up my spine directly into my cranium. The seats are comfy, and every control is within reach. Everything about this vehicle just feels effortless, and that's what i want out of my daily driver. Throw in that 5-year warranty, and I might just be buying Kias for my daily driver forever."
sportage,5 out of 5 stars,"I supposed to get the 2021 Mazda CX5 but there was a problem in the approval of my loan documents, so I decided to go to my 2nd choice which is the Kia Sportage. I am only looking for an AWD option due to my hobby of going to some small adventure for desert and seashores in the small Country of Qatar. I picked the mid option which was having the AWD but when I finally collected the car, it was like a huge bomb dropped in front of me. I side mirrors, open when I get close to the car, and I can start the engine in as far as 10 meters from the vehicle. Going inside is just a press of a button and a push button start. There is a auto dimming rear view mirrors and a full roof of glass sun roof which can be physically opened halfway. Off road modes also present as I saw the center locking differential button and the hill descend control. Infotainment doesn't represent any branding but the sound is still top notch. Both driver set and front passenger set are electric adjustable only lumbar is added in the driver set. The inside cabin design is two toned  and very luxurious feel. Hand brakes are not electronic since its actually a foot brake but I didn't bother. The package also comes with a standard spare tire and aluminum wheel. Sets are very comfortable specially with the addition of the rear ac vents. Cabin is very quiet only you can hear the engine growl from 2000 rpm and higher. Steering is very good just a small indirect feeling but its not very noticeable not unless you have driven a Mazda CX5 for a long time. Setting position is very commanding and sets are perfect and very comfortable. Only I can say is, that this option is very close to the full option. The followings items are the only things making the gap being full a full option (adaptive cruise control, lane departure and lane keep assist, rear cross traffic alert and stopping, electronic parking brake, paddle shifters, wireless phone charger, blind sport monitor, LED headlight, 19 inch wheel, power lift gate and full leather sets. But still Kia is giving us a very useful features that no other car making can do. Kudos Kia."
